"Product URL rewrite","Rewriting dell'URL prodotto"
"Disables the <strong>url_key</strong> product attribute.<br />Disables products URLs reindexation.<br />Effective immediately.","Disattiva l'attributo del prodotto <strong lang=""en"">url_key</strong>.<br />Disattiva l'indicizzazione degli URL prodotti.<br />È immediatamente effettivo."
"Attributes to use","Attributi da utilizzare"
"Example: www.example.org/id-<strong>abc-xyz</strong>.html<br />Attributes separated by a space.","Esempio: www.esempio.org/id-<strong>abc-xyz</strong>.html<br />Attributi separati con uno spazio."
"Values to ignore","Valori da ignorare"
"Allows to filter the values of previous attributes. Values separated by a space.","Permette di filtrare i valori degli attributi precedenti. Valori separati da uno spazio."
"Attribute used for old products ids","Attributo utilizzato per vecchi ids prodotti"
"Allows to redirect deleted products to the new ones. The attribute must be unique and global. On the product page, values separated by a comma or a space.","Reindirizza i prodotti rimossi verso i nuovi. L'attributo deve essere unico e globale. Sul foglio prodotto, valori separati da una virgola o uno spazio."
"Automatically display the product URL rewrite tab","Visualizza automaticamente la pagina rewriting dell'URL prodotto"
"When displaying the modification page of a product in the backend.","Quando si visualizza la pagina di modifica di un prodotto nel back-office."
"Example with the latest created product","Esempio con l'ultimo prodotto realizzato"
"See {{Product URL rewrite}}.","Vedere {{Rewriting dell'URL prodotto}}."
"INCOMPLETE MODULE INSTALLATION","INSTALLAZIONE INCOMPLETA DEL MODULO"
"Format: <strong>www.example.org/%s%s</strong>","Formato: <strong>www.esempio.org/<span lang=""en"">%s</span>%s</strong>"
"This product replaces the following deleted products (via the <em>%s</em> attribute): %s.","Questo prodotto sostituisce quelli rimossi (via l'attributo <em lang=""en"">%s</em>): %s."
"Address description for the store view #%d:","Descrizione dell'indirizzo per la vista negozio n°%d:"
"%s <span %s>Warning! This attribute does not exist.</span>","<span lang=""en"">%s</span> <span %s>Attenzione! Questo attributo non esiste.</span>"
"%s: %s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span>: %s <span %s>Attenzione! Questo attributo non è utilizzato nella lista dei prodotti (<a %s>modificare l'attributo</a>).</span>"
"%s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> <span %s>Attenzione! Questo attributo non è usato nella lista dei prodotti (<a %s>modificare l'attributo</a>).</span>"
"%s: %s","<span lang=""en"">%s</span>: %s"
"List of addresses:","Elenco indirizzi:"
