"Product url rewrite","Réécriture d'url produit"
"Disable the ""<strong>url_key</strong>"" product attribute.<br />Disable products urls indexation.<br />Effective immediately.","Désactive l'attribut produit « <strong lang=""en"">url_key</strong> ».<br />Désactive la réindexation des urls produits.<br />Est effectif immédiatement."
"Attributes to use","Attributs à utiliser"
"Example: www.example.org/id-<strong>xyz</strong>.html<br />Attributes separated by a space.","Exemple : www.exemple.org/id-<strong>xyz</strong>.html<br />Attributs séparés par un espace."
"Values to ignore","Valeurs à ignorer"
"Allow to filter the values ​​of previous attributes. Values separated by a space.","Permet de filtrer les valeurs des attributs précédents. Valeurs séparées par un espace."
"Attribute used for old products ids","Attribut utilisé pour les anciens ids produits"
"Allow to redirect deleted products to the new. The attribute must be unique and global.","Permet de rediriger les produits supprimés vers les nouveaux. L'attribut doit être unique et global."
"Automatically display the url rewrite tab","Afficher automatiquement l'onglet réécriture d'url produit"
"When displaying the modification page of a product in the backend.","Lors de l'affichage de la page de modification d'un produit dans le back-office."
"Example with the latest created product","Exemple avec le dernier produit créé"
"Disabled if you use <strong>urlnosql</strong> module (see {{Product url rewrite}}).","Désactivé si vous utilisez le module <strong lang=""en"">urlnosql</strong> (voir {{Réécriture d'url produit}})."
"Format: <strong>www.example.org/%s%s</strong>","Format : <strong>www.exemple.org/<span lang=""en"">%s</span>%s</strong>"
"Ignore values: %s.","Ignorer les valeurs : %s."
"This product replace old products: %s.","Ce produit remplace les anciens produits : %s."
"Address description for store view #%d:","Description de l'adresse pour la vue magasin n°%d :"
"%s <span %s>Warning! This attribute does not exist.</span>","<span lang=""en"">%s</span> <span %s>Attention ! Cet attribut n'existe pas.</span>"
"%s: %s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> : %s <span %s>Attention ! Cet attribut n'est pas utilisé dans les listes de produits (<a %s>modifier l'attribut</a>).</span>"
"%s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> <span %s>Attention ! Cet attribut n'est pas utilisé dans les listes de produits (<a %s>modifier l'attribut</a>).</span>"
"%s: %s","<span lang=""en"">%s</span> : %s"
"List of addresses:","Liste des adresses :"
"(%d) <span lang=""%s"">%s</span>:","(%d) <span lang=""%s"">%s</span> :"
"(%d) %s:","(%d) %s :"
