"Product url rewrite","Réécriture d'url produit"
"Disable the ""<b>url_key</b>"" product attribute.<br />Disable products urls indexation.<br />Effective immediately.","Désactive l'attribut produit « <b lang=""en"">url_key</b> ».<br />Désactive la réindexation des urls produits.<br />Est effectif immédiatement."
"Attributes to use","Attributs à utiliser"
"Example: www.example.org/id-<b>xyz</b>.html<br />Attributes separated by space.","Exemple : www.exemple.org/id-<b>xyz</b>.html<br />Attributs séparés par un espace."
"Values to ignore","Valeurs à ignorer"
"Filters the values ​​of previous attributes.<br />Values separated by space.","Permet de filtrer les valeurs des attributs précédents.<br />Valeurs séparées par un espace."
"Check products address","Vérifier l'adresse des produits"
"Redirect www.example.org/id*.html to www.example.org/id-<b>xyz</b>.html<br />Redirect non-visible products to the parent product.","Redirige www.exemple.org/id*.html vers www.exemple.org/id-<b>xyz</b>.html<br />Redirige les produits non visibles vers le produit parent."
"Attribute used for old products ids","Attribut utilisé pour les anciens ids produits"
"Redirects deleted products to the new. The attribute must be unique and global.","Permet de rediriger des produits supprimés vers les nouveaux. L'attribut doit être unique et global."
"Example with the latest product created","Exemple avec le dernier produit créé"
"Disabled if you use <b>urlnosql</b> module (see {{Product url rewrite}}).","Désactivé si vous utilisez le module <b lang=""en"">urlnosql</b> (voir {{Réécriture d'url produit}})."
"Format: <strong>www.example.org/%s%s</strong>","Format : <strong>www.exemple.org/<span lang=""en"">%s</span>%s</strong>"
"Ignore values: %s.","Ignorer les valeurs : %s."
"This product replace old products: %s.","Ce produit remplace les anciens produits: %s."
"Address description for store view #%d:","Description de l'adresse pour la vue magasin n°%d :"
"%s <span %s>Warning! This attribute does not exist.</span>","<span lang=""en"">%s</span> <span %s>Attention ! Cet attribut n'existe pas.</span>"
"%s: %s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> : %s <span %s>Attention ! Cet attribut n'est pas utilisé dans les listes de produits (<a %s>modifier l'attribut</a>).</span>"
"%s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> <span %s>Attention ! Cet attribut n'est pas utilisé dans les listes de produits (<a %s>modifier l'attribut</a>).</span>"
"%s: %s","<span lang=""en"">%s</span> : %s"
"List of addresses:","Liste des adresses :"
"(%d) %s:","(%d) %s :"
