"Product URL rewrite","Reescrita do URL produto"
"Disables the ""<strong>url_key</strong>"" product attribute.<br />Disables products URLs reindexation.<br />Effective immediately.","Desativa o atributo do produto ""<strong lang=""en"">url_key</strong>"".<br />Desativa a reindexação dos URLs produtos.<br />Torna-se efetivo imediatamente."
"Attributes to use","Atributos para usar"
"Example: www.example.org/id-<strong>abc-xyz</strong>.html<br />Attributes separated by a space.","Exemplo: www.exemplo.org/id-<strong>abc-xyz</strong>.html<br />Atributos separados por um espaço."
"Values to ignore","Valores para ignorar"
"Allows to filter the values of previous attributes. Values separated by a space.","Permite filtrar os valores dos atributos anteriores. Valores separados por um espaço."
"Attribute used for old products ids","Atributo usado para os antigos ids produtos"
"Allows to redirect deleted products to the new ones. The attribute must be unique and global. On the product page, values separated by a trail.","Permite redirecionar os produtos suprimidos para os novos. O atributo deve ser único e global. Na folha de produto, valores separados por uma vírgula."
"Automatically display the product URL rewrite tab","Afixar automaticamente o separador reescrita do URL produto"
"When displaying the modification page of a product in the backend.","Ao afixar a página de modificação de um produto no back-office."
"Example with the latest created product","Exemplo com o último produto criado"
"Disabled when you are using <strong>urlnosql</strong> module (see {{Product URL rewrite}}).","Desativado se usar o módulo <strong lang=""en"">urlnosql</strong> (ver {{Reescrita do URL produto}})."
"Format: <strong>www.example.org/%s%s</strong>","Formato: <strong>www.exemplo.org/<span lang=""en"">%s</span>%s</strong>"
"This product replaces the following deleted products (via the <em>%s</em> attribute): %s.","Este produto substitui os produtos suprimidos seguintes (via o atributo <em lang=""en"">%s</em>): %s."
"Address description for the store view #%d:","Descrição do endereço para a visão de depósito n°%d:"
"%s <span %s>Warning! This attribute does not exist.</span>","<span lang=""en"">%s</span> <span %s>Cuidado! Este atributo não existe.</span>"
"%s: %s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span>: %s <span %s>Cuidado! Este atributo não é usado nas listas de produtos (<a %s>modificar o atributo</a>).</span>"
"%s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> <span %s>Cuidado! Este atributo não é usado nas listas de produtos (<a %s>modificar o atributo</a>).</span>"
"%s: %s","<span lang=""en"">%s</span>: %s"
"List of addresses:","Lista dos endereços:"
"(%d) <span lang=""%s"">%s</span>:","(%d) <span lang=""%s"">%s</span>:"
"(%d) %s:","(%d) %s:"
